GyroX,GyroY,GyroZ
-0.00342,-0.05154,0.00721
-0.00342,-0.05154,0.00721
-0.00342,-0.05154,0.00721
-0.00342,-0.05154,0.00721
-0.01101,-0.02877,-0.02315
-0.01101,-0.02877,-0.02315
-0.01101,-0.02877,-0.02315
-0.01101,-0.02877,-0.02315
-0.01101,-0.02877,-0.02315
-0.01101,-0.02877,-0.02315
-0.0186,0.00918,-0.03833
-0.0186,0.00918,-0.03833
-0.0186,0.00918,-0.03833
-0.0186,0.00918,-0.03833
-0.0186,0.00918,-0.03833
-0.07173,0.04713,-0.03074
-0.07173,0.04713,-0.03074
-0.07173,0.04713,-0.03074
-0.07173,0.04713,-0.03074
-0.07173,0.04713,-0.03074
-0.07173,0.04713,-0.03074
-0.02619,0.03195,-0.00797
-0.02619,0.03195,-0.00797
-0.02619,0.03195,-0.00797
-0.02619,0.03195,-0.00797
-0.02619,0.03195,-0.00797
-0.02619,0.03195,-0.00797
0.00417,-0.03636,-0.00038
0.00417,-0.03636,-0.00038
0.00417,-0.03636,-0.00038
0.00417,-0.03636,-0.00038
0.00417,-0.03636,-0.00038
0.00417,-0.03636,-0.00038
0.01936,-0.02877,0.02998
0.01936,-0.02877,0.02998
0.01936,-0.02877,0.02998
0.01936,-0.02877,0.02998
0.01936,-0.02877,0.02998
0.01936,-0.02877,0.02998
-0.01101,-0.01359,-0.00038
-0.01101,-0.01359,-0.00038
-0.01101,-0.01359,-0.00038
-0.01101,-0.01359,-0.00038
-0.01101,-0.01359,-0.00038
-0.04137,0.00159,-0.00797
-0.04137,0.00159,-0.00797
-0.04137,0.00159,-0.00797
-0.04137,0.00159,-0.00797
-0.04137,0.00159,-0.00797
-0.04137,0.00159,-0.00797
-0.00342,-0.02118,0.00721
-0.00342,-0.02118,0.00721
-0.00342,-0.02118,0.00721
-0.00342,-0.02118,0.00721
-0.00342,-0.02118,0.00721
-0.00342,-0.02118,0.00721
0.01176,-0.02118,0.00721
0.01176,-0.02118,0.00721
0.01176,-0.02118,0.00721
0.01176,-0.02118,0.00721
0.01176,-0.02118,0.00721
0.01176,-0.02118,0.00721
0.01176,0.01677,0.07552
0.01176,0.01677,0.07552
0.01176,0.01677,0.07552
0.01176,0.01677,0.07552
0.01176,0.01677,0.07552
0.01176,0.01677,0.07552
0.01176,-0.01359,0.02239
0.01176,-0.01359,0.02239
0.01176,-0.01359,0.02239
0.01176,-0.01359,0.02239
0.01176,-0.01359,0.02239
0.00417,-0.06672,-0.00038
0.00417,-0.06672,-0.00038
0.00417,-0.06672,-0.00038
0.00417,-0.06672,-0.00038
0.00417,-0.06672,-0.00038
0.00417,-0.06672,-0.00038
-0.00342,-0.006,-0.03074
-0.00342,-0.006,-0.03074
-0.00342,-0.006,-0.03074
-0.00342,-0.006,-0.03074
-0.00342,-0.006,-0.03074
-0.00342,-0.006,-0.03074
-0.00342,-0.006,-0.02315
-0.00342,-0.006,-0.02315
-0.00342,-0.006,-0.02315
-0.00342,-0.006,-0.02315
-0.00342,-0.006,-0.02315
-0.00342,-0.006,-0.02315
0.01936,0.02436,0.03757
0.01936,0.02436,0.03757
0.01936,0.02436,0.03757
0.01936,0.02436,0.03757
